Date	OADryBulbTemperatureNOAA	VariableSupplyAirTemp	AHU23SupplyAirTemp
42522.375	76.277	63.75	57.92
42522.3854166667	77.042	64.75	59.72
42522.3958333333	77.807	64.5	59.71
42522.40625	78.572	64.25	58.86
42522.4166666667	78.7175	64.75	54.87
42522.4270833333	78.155	63.5	59.78
42522.4375	79.1208695652174	64	58.93
42522.4479166667	80.1773913043478	63.75	54.96
42522.4583333333	81.17	63.75	53.27
42522.46875	81.62	61.25	57.19
42522.4791666667	82.04	58	58.65
42522.4895833333	82.04	57.25	52.71
42522.5	82.376	58.5	51.6
42522.5104166667	83.096	59.5	52.94
42522.5208333333	83.816	60.25	59.41
42522.53125	84.536	60.5	61.22
42522.5416666667	85.046	62	57.94
42522.5520833333	85.316	61	53.72
42522.5625	85.586	61.25	52.04
42522.5729166667	85.856	60.75	50.23
42522.5833333333	86.126	58.25	55.36
42522.59375	86.396	58.25	59.76
42522.6041666667	86.666	58	53.44
42522.6145833333	86.936	56.75	51.2
42522.625	86.8	56.75	52.78
42522.6354166667	86.2	58.5	58.12
42522.6458333333	81.8705882352941	63.5	54.01
42522.65625	76.6538461538462	64.75	51.28
42522.6666666667	75.92	64.5	50.94
42522.6770833333	75.92	64.5	56.01
42522.6875	75.92	64.75	60.84
42522.6979166667	75.92	64.75	56.17
42523.375	69.311	63.25	58.65
42523.3854166667	69.806	64.25	60.16
42523.3958333333	70.301	63.5	58.26
42523.40625	70.796	63.75	58.44
42523.4166666667	71.06	64	59.61
42523.4270833333	71.06	64.5	59.84
42523.4375	71.06	64	57.29
42523.4479166667	71.06	63.5	55.43
42523.4583333333	71.6626086956522	63.25	56.9
42523.46875	72.9539130434783	64	59.57
42523.4791666667	73.5542857142857	63	53.27
42523.4895833333	75.0971428571429	62.25	51.32
42523.5	76.865	64.25	57.07
42523.5104166667	77	64	60.53
42523.5208333333	77	63.75	59.06
42523.53125	77	62.75	58.65
42523.5416666667	78.98	65	56.9
42523.5520833333	77.9192857142857	63.75	55.95
42523.5625	76.9136	64	53.59
42523.5729166667	76.2656	64.75	52.42
42523.5833333333	76.277	63.75	56.28
42523.59375	77.042	64	57.78
42523.6041666667	77.807	64.5	57.29
42523.6145833333	78.572	64	52.32
42523.625	79.106	64.75	50.72
42523.6354166667	79.376	65.25	54.27
42523.6458333333	79.646	65.5	57.23
42523.65625	79.916	65.75	54.79
42523.6666666667	80.06	65.5	51.94
42523.6770833333	80.06	65.25	52.92
42523.6875	80.06	65	58.96
42523.6979166667	80.06	65.25	54.24
42524.375	71.291	64.25	58.67
42524.3854166667	71.786	65	59.89
42524.3958333333	72.281	64	58.73
42524.40625	72.776	64	58.59
42524.4166666667	73.04	64	58.62
42524.4270833333	73.04	64	58.32
42524.4375	73.6571428571429	64.25	53.76
42524.4479166667	74.8142857142857	64	52.26
42524.4583333333	75.92	64	54.67
42524.46875	76.531320754717	64	56.62
42524.4791666667	77.142641509434	64.5	54.05
42524.4895833333	77.7539622641509	64.5	51.42
42524.5	78.311	64.5	52.22
42524.5104166667	78.806	64.5	59.33
42524.5208333333	79.301	65.25	61.05
42524.53125	79.796	65.25	58.32
42524.5416666667	79.934	64.25	55.26
42524.5520833333	79.664	64.25	52.37
42524.5625	79.394	64.25	50.74
42524.5729166667	79.124	64.5	51.64
42524.5833333333	78.98	65	52.12
42524.59375	78.98	64.5	52.21
42524.6041666667	78.98	64.5	52.07
42524.6145833333	78.98	64.75	51.86
42524.625	79.337	64.75	52.25
42524.6354166667	80.102	65	54.01
42524.6458333333	80.867	64.5	54.81
42524.65625	81.632	64.5	52.43
42524.6666666667	82.04	64.75	50.89
42524.6770833333	82.04	64.5	53.71
42524.6875	82.04	64.75	57.02
42524.6979166667	82.04	65	52.86
42527.375	77.462	64	57.96
42527.3854166667	78.452	66.25	59.83
42527.3958333333	79.442	65	59.06
42527.40625	80.432	64	58.87
42527.4166666667	81.317	64.5	57.39
42527.4270833333	82.082	65	56.3
42527.4375	82.847	65	53.86
42527.4479166667	83.612	63.5	51.61
42527.4583333333	84.251	61.25	50.99
42527.46875	84.746	59.5	53.32
42527.4791666667	85.241	58	54.04
42527.4895833333	85.736	58	52.27
42527.5	85.874	58.75	51.46
42527.5104166667	85.604	62.25	54.12
42527.5208333333	85.334	63	57.83
42527.53125	85.064	64	59.27
42527.5416666667	85.046	63.5	58.98
42527.5520833333	85.316	63.5	53.21
42527.5625	85.586	64.75	50.97
42527.5729166667	85.856	64.75	51.46
42527.5833333333	85.874	65.25	52.18
42527.59375	85.604	64.75	55.38
42527.6041666667	85.334	64	57.36
42527.6145833333	85.064	64.5	52.51
42527.625	85.172	64.5	50.63
42527.6354166667	85.712	63.5	51.55
42527.6458333333	86.252	62.5	52.13
42527.65625	86.792	62	52.09
42527.6666666667	87.08	62	52.4
42527.6770833333	87.08	64.5	53.95
42527.6875	87.08	64.25	56.94
42527.6979166667	87.08	63.5	53.12
42528.4166666667	84.125	59.5	55.06
42528.4270833333	84.35	59	52.36
42528.4375	84.575	61.25	50.92
42528.4479166667	84.8	64	51.8
42528.4583333333	85.172	64.25	52.07
42528.46875	85.712	63.25	52.06
42528.4791666667	86.252	63	52.56
42528.4895833333	86.792	62.25	52.75
42528.5	86.954	61.25	51.97
42528.5104166667	86.684	61.25	51.51
42528.5208333333	86.414	63	57.51
42528.53125	86.144	62.75	62.09
42528.5416666667	86.126	61.75	56.72
42528.5520833333	86.396	60.5	53.96
42528.5625	86.666	57	51.82
42528.5729166667	86.936	58.5	50.84
42528.5833333333	87.185	60.5	51.72
42528.59375	87.41	60	52.06
42528.6041666667	87.635	59.5	52.48
42528.6145833333	87.86	57.5	52.02
42528.625	88.211	56.25	52.31
42528.6354166667	88.706	60.25	51.99
42528.6458333333	89.201	61.75	52.1
42528.65625	89.696	62.5	51.9
42528.6666666667	89.855	58.25	51.82
42528.6770833333	89.63	58.5	51.86
42528.6875	89.405	58.25	51.95
42528.6979166667	89.18	62.5	51.65
42529.375	81.317	64	57.49
42529.3854166667	82.082	64.5	53.74
42529.3958333333	82.847	62.5	51.5
42529.40625	83.612	62	52.01
42529.4166666667	84.251	59.5	51.73
42529.4270833333	84.746	59.5	51.36
42529.4375	85.241	60.25	51.5
42529.4479166667	85.736	61	51.91
42529.4583333333	86.126	62.25	52.73
42529.46875	86.396	62.75	51.59
42529.4791666667	86.666	62.75	51.4
42529.4895833333	86.936	62.75	52.63
42529.5	87.185	61.5	53.41
42529.5104166667	87.41	60	51.89
42529.5208333333	87.635	63.75	51.55
42529.53125	87.86	62.25	52.49
42529.5416666667	88.106	55	54.07
42529.5520833333	88.376	55.25	53.57
42529.5625	88.646	56	51.74
42529.5729166667	88.916	58.75	50.97
42529.5833333333	89.165	63.25	51.92
42529.59375	89.39	60.25	52.14
42529.6041666667	89.615	56.75	52.44
42529.6145833333	89.84	56.5	52.4
42529.625	89.729	57.5	52.22
42529.6354166667	89.234	58	51.69
42529.6458333333	88.739	58.5	51.47
42529.65625	88.244	56.75	51.77
42529.6666666667	87.98	56.5	52.22
42529.6770833333	87.98	58.25	52.34
42529.6875	87.98	59	52.42
42529.6979166667	87.98	58.5	52.28
42530.5	88.106	64	52.11
42530.5104166667	88.376	62.5	51.28
42530.5208333333	88.646	64	59.16
42530.53125	88.916	64	59.56
42530.5416666667	89.165	63.75	51.94
42530.5520833333	89.39	63.25	51.9
42530.5625	89.615	63.25	53.74
42530.5729166667	89.84	64	60.29
42530.5833333333	89.96	61.5	57.27
42530.59375	89.96	58.5	52.66
42530.6041666667	89.96	57.75	51.43
42530.6145833333	89.96	60.25	51.39
42530.625	90.086	61.5	53.63
42530.6354166667	90.356	61.5	58.31
42530.6458333333	90.626	61.75	61.01
42530.65625	90.896	61.75	52.93
42530.6666666667	91.145	64.25	51.04
42530.6770833333	91.37	65	59.04
42530.6875	91.595	64.25	58.31
42530.6979166667	91.82	64	51.98
42531.375	79.295	65.5	58.77
42531.3854166667	79.97	65.5	59.24
42531.3958333333	80.385	65.75	58.93
42531.40625	80.76	65.25	56.4
42531.4166666667	81.464	64.5	52.46
42531.4270833333	82.04	63.5	50.89
42531.4375	83.03	62.5	56.41
42531.4479166667	84.3661538461538	64.75	60.71
42531.4583333333	84.92	64.75	54.83
42531.46875	84.92	64.5	51
42531.4791666667	84.92	62.75	56.64
42531.4895833333	84.92	62.75	61.46
42531.5	85.277	63.75	55.15
42531.5104166667	86.042	64	51.47
42531.5208333333	86.807	64.25	52.07
42531.53125	87.572	65.5	57.16
42531.5416666667	88.211	65.5	60.75
42531.5520833333	88.706	63.75	56.66
42531.5625	89.201	64.5	52.71
42531.5729166667	89.696	64	50.85
42531.5833333333	90.086	64.25	52.01
42531.59375	90.356	64.75	52.66
42531.6041666667	90.626	64	53.49
42531.6145833333	90.896	59.25	57.39
42531.625	91.04	58.25	61.22
42531.6354166667	91.04	58.5	54.71
42531.6458333333	91.04	59.75	52.17
42531.65625	91.04	62	56.2
42531.6666666667	90.809	61.75	58.06
42531.6770833333	90.314	64.25	51.9
42531.6875	89.819	64.25	50.95
42531.6979166667	89.324	64.25	54.11
42534.375	80.24	62.5	59.01
42534.3854166667	80.6257142857143	62.5	59.18
42534.3958333333	80.96	62.5	58.76
42534.40625	80.96	62.5	58.41
42534.4166666667	81.2886956521739	61.25	59.09
42534.4270833333	81.9930434782609	60.75	59.41
42534.4375	82.7891891891892	59.5	59.77
42534.4479166667	83.5918918918919	59.75	58.99
42534.4583333333	84.3028571428571	56.75	58.66
42534.46875	84.9089795918367	57.25	58.82
42534.4791666667	85.5151020408163	56.5	58.97
42534.4895833333	86.2945454545455	56.25	59.06
42534.5	87.311	56.5	59.17
42534.5104166667	87.806	60.5	57.23
42534.5208333333	88.301	64	56.4
42534.53125	88.796	64.5	58.86
42534.5416666667	89.165	64.5	60.59
42534.5520833333	89.39	64	58.62
42534.5625	89.615	62.75	56.62
42534.5729166667	89.84	60.5	54.39
42534.5833333333	89.96	59.25	52.81
42534.59375	89.96	61.25	55.99
42534.6041666667	89.96	62.25	62.17
42534.6145833333	89.96	65	59.02
42534.625	90.317	63.5	57.87
42534.6354166667	91.082	62.5	59.16
42534.6458333333	91.847	62.5	59.42
42534.65625	92.612	61.25	55.46
42534.6666666667	92.789	59.5	52.11
42534.6770833333	92.294	58	51.54
42534.6875	91.799	58.5	58.18
42534.6979166667	91.304	58	56.47
42535.375	81.2265384615385	59	58.98
42535.3854166667	81.7976923076923	55.25	59.32
42535.3958333333	82.3688461538462	55.25	58.91
42535.40625	82.94	56.25	58.83
42535.4166666667	82.94	57.75	58.77
42535.4270833333	85.0780487804878	56	58.99
42535.4375	85.8682926829268	54.5	59.21
42535.4479166667	86.6585365853659	54.5	59.38
42535.4583333333	87.185	56	59.06
42535.46875	87.41	59.25	58.58
42535.4791666667	87.635	59	57.33
42535.4895833333	87.86	58.5	55.84
42535.5	88.211	58.5	55.21
42535.5104166667	88.706	61	58.54
42535.5208333333	89.201	62.5	61.06
42535.53125	89.696	64.25	58.12
42535.5416666667	90.086	64.75	57.74
42535.5520833333	90.356	64.25	56.64
42535.5625	90.626	63.25	52.79
42535.5729166667	90.896	63.5	51.57
42535.5833333333	91.271	63.25	55.24
42535.59375	91.766	64.5	61.07
42535.6041666667	92.261	64.75	55.76
42535.6145833333	92.756	61	52.17
42535.625	93.125	60	51.32
42535.6354166667	93.35	60	58.98
42535.6458333333	93.575	62.5	57.28
42535.65625	93.8	62.75	52.08
42535.6666666667	93.689	61.25	50.81
42535.6770833333	93.194	59.25	53.34
42535.6875	92.699	59.25	54.11
42535.6979166667	92.204	62	52.33
42536.375	82.04	62.25	58.98
42536.3854166667	82.238	61.75	52.59
42536.3958333333	83.228	59	50.89
42536.40625	83.7254545454545	56.25	50.26
42536.4166666667	83.423	56.25	51.18
42536.4270833333	84.458	57.75	52.41
42536.4375	85.493	59.25	52.48
42536.4479166667	86.528	57.25	51.77
42536.4583333333	87.416	55.75	51.85
42536.46875	88.136	58.25	51.09
42536.4791666667	88.856	57	51.95
42536.4895833333	89.576	57.5	52.16
42536.5	90.191	64	52.22
42536.5104166667	90.686	64	52.08
42536.5208333333	91.181	64	52.24
42536.53125	91.676	64.5	52.34
42536.5416666667	92.066	64.5	52.18
42536.5520833333	92.336	64.5	51.94
42536.5625	92.606	64.5	51.82
42536.5729166667	92.876	64.75	51.72
42536.5833333333	93.125	65	52
42536.59375	93.35	64.5	51.71
42536.6041666667	93.575	64.5	51.67
42536.6145833333	93.8	64.5	51.54
42536.625	93.92	64.5	51.9
42536.6354166667	93.92	63.5	52.57
42536.6458333333	93.92	63	52.92
42536.65625	93.92	62.75	52.09
42536.6666666667	93.92	61	51.91
42536.6770833333	93.92	61	52
42536.6875	93.92	64	51.75
42536.6979166667	93.92	64	51.96
42537.375	82.37	62.5	55.61
42537.3854166667	83.0771428571429	60.5	51.99
42537.3958333333	83.7842857142857	56.75	51.08
42537.40625	84.8381818181818	56.5	51.4
42537.4166666667	84.377	56.5	52.13
42537.4270833333	85.142	57.5	52.16
42537.4375	85.907	57.5	52.12
42537.4479166667	86.672	55	52.07
42537.4583333333	87.311	54.5	52.41
42537.46875	87.806	56	52.36
42537.4791666667	88.301	58	51.82
42537.4895833333	88.796	58	51.19
42537.5	89.165	56.5	51.72
42537.5104166667	89.39	59.75	52.31
42537.5208333333	89.615	64.5	52.67
42537.53125	89.84	64.5	51.86
42537.5416666667	90.191	63	51.49
42537.5520833333	90.686	61.5	51.32
42537.5625	91.181	62.75	51.99
42537.5729166667	91.676	64	52.12
42537.5833333333	92.171	62	52.21
42537.59375	92.666	58.5	52.03
42537.6041666667	93.161	57.75	52.67
42537.6145833333	93.656	60.25	52.19
42537.625	93.92	62.25	51.09
42537.6354166667	93.92	61	51.62
42537.6458333333	93.92	60.75	52.42
42537.65625	93.92	60.75	52.6
42537.6666666667	93.92	64.25	52.23
42537.6770833333	93.92	64.5	52.01
42537.6875	93.92	64.5	51.91
42537.6979166667	93.92	64.5	51.6
42538.375	81.317	63	54.87
42538.3854166667	82.082	63	51.86
42538.3958333333	82.847	62.5	51.3
42538.40625	83.612	57.25	56.35
42538.4166666667	84.2	55	60.19
42538.4270833333	84.5857142857143	59.75	52.35
42538.4375	85.0139130434783	63.25	50.84
42538.4479166667	85.7182608695652	63.25	51.49
42538.4583333333	86	64	52.04
42538.46875	86	63.25	52.22
42538.4791666667	86	63.5	51.83
42538.4895833333	86.2945454545455	63.5	51.91
42538.5	87.08	63.25	51.95
42538.5104166667	87.6403773584906	61.75	51.92
42538.5208333333	88.2007547169811	63.25	51.97
42538.53125	88.7611320754717	65	51.95
42538.5416666667	89.291	65.25	51.96
42538.5520833333	89.786	64.5	52.1
42538.5625	90.281	61.25	52.19
42538.5729166667	90.776	60.25	52.21
42538.5833333333	91.271	59.25	52.11
42538.59375	91.766	59.25	52.34
42538.6041666667	92.261	60.25	52.28
42538.6145833333	92.756	61.75	51.54
42538.625	93.02	62.75	51.29
42538.6354166667	93.02	58	51.84
42538.6458333333	93.02	57.25	52.47
42538.65625	93.02	62.75	52.83
42538.6666666667	93.125	62.75	52.07
42538.6770833333	93.35	64.75	51.6
42538.6875	93.575	64	51.13
42538.6979166667	93.8	62.25	52.13
42541.375	81.191	67	53.79
42541.3854166667	81.686	64.25	51.47
42541.3958333333	82.181	62.5	51.34
42541.40625	82.676	61.75	51.62
42541.4166666667	83.2865	63.75	52.01
42541.4270833333	84.029	62.75	52.32
42541.4375	84.7715	63.75	52.76
42541.4479166667	85.28	61.25	52.46
42541.4583333333	86	59.25	52.04
42541.46875	86	59	51.55
42541.4791666667	85.7765517241379	59.25	51.2
42541.4895833333	85.2179310344827	59.25	51.49
42541.5	85.508	61	51.89
42541.5104166667	86.768	61	52.06
42541.5208333333	88.028	63.25	52.78
42541.53125	89.288	64	52.82
42541.5416666667	90.191	64	52.61
42541.5520833333	90.686	63.5	51.8
42541.5625	91.181	61.5	51.45
42541.5729166667	91.676	60.5	51.69
42541.5833333333	91.94	59.5	51.84
42541.59375	91.94	58.75	52.22
42541.6041666667	91.94	60.25	52.41
42541.6145833333	91.94	62.5	52.11
42541.625	92.297	63	51.81
42541.6354166667	93.062	63.75	51.38
42541.6458333333	93.827	63.5	51.78
42541.65625	94.592	59.25	52.36
42541.6666666667	94.538	57.5	52.99
42541.6770833333	93.548	57.75	52.04
42541.6875	92.558	59.25	51.81
42541.6979166667	91.568	60.25	51.58
42542.375	81.317	62	53.23
42542.3854166667	82.082	60.5	50.88
42542.3958333333	82.847	59.25	51.32
42542.40625	83.612	60.5	51.97
42542.4166666667	84.377	59	51.91
42542.4270833333	85.142	58.75	52.19
42542.4375	85.907	60.75	52.48
42542.4479166667	86.672	61.5	52.54
42542.4583333333	87.185	61	54.94
42542.46875	87.41	60.5	60.17
42542.4791666667	87.635	60.5	53.22
42542.4895833333	87.86	59.75	51.45
42542.5	88.211	60	52.83
42542.5104166667	88.706	60.75	59.89
42542.5208333333	89.201	63	55.51
42542.53125	89.696	64.25	51.56
42542.5416666667	90.191	63.25	52.09
42542.5520833333	90.686	63	59.68
42542.5625	91.181	60.75	54.55
42542.5729166667	91.676	60.75	51.2
42542.5833333333	91.94	63.5	51.14
42542.59375	91.94	64.5	55.86
42542.6041666667	91.94	62.25	52.42
42542.6145833333	91.94	57.5	50.89
42542.625	91.94	59.25	51.59
42542.6354166667	91.94	59	52.13
42542.6458333333	91.94	59.5	52.21
42542.65625	91.94	56	52.22
42542.6666666667	91.94	56	52.16
42542.6770833333	91.94	57.75	52.07
42542.6875	91.94	57	52.17
42542.6979166667	91.94	57.25	52.29
42543.375	81.4581395348837	64.25	52.36
42543.3854166667	82.5255813953488	61.25	51.79
42543.3958333333	83.5930232558139	59.5	51.54
42543.40625	84.02	59	51.54
42543.4166666667	84.377	57.75	51.06
42543.4270833333	85.142	58.25	51.21
42543.4375	85.907	58.25	51.77
42543.4479166667	86.672	57.5	52.32
42543.4583333333	87.185	57.75	52.56
42543.46875	87.41	58	52.62
42543.4791666667	87.635	58.75	52.04
42543.4895833333	87.86	58.5	51.96
42543.5	88.337	57.5	51.72
42543.5104166667	89.102	56.75	51.93
42543.5208333333	89.867	57	52.14
42543.53125	90.632	58.25	52.37
42543.5416666667	91.145	58.5	52.62
42543.5520833333	91.37	58.5	52.37
42543.5625	91.595	58.75	50.86
42543.5729166667	91.82	59	51.11
42543.5833333333	91.94	59	51.94
42543.59375	91.94	59	52.53
42543.6041666667	91.94	59	52.46
42543.6145833333	91.94	58.75	52.02
42543.625	91.94	59.25	50.94
42543.6354166667	91.94	59.75	51.75
42543.6458333333	91.94	59.75	52.37
42543.65625	91.94	60.25	52.44
42543.6666666667	91.835	60	52.57
42543.6770833333	91.61	60.75	52.13
42543.6875	91.385	60.75	51.85
42543.6979166667	91.16	61.5	51.52
42544.375	81.191	62.25	51.32
42544.3854166667	81.686	59.75	52.02
42544.3958333333	82.181	56	51.94
42544.40625	82.676	55.75	51.78
42544.4166666667	83.171	56.25	51.87
42544.4270833333	83.666	56.5	52.22
42544.4375	84.161	56.75	52.81
42544.4479166667	84.656	56.5	52.16
42544.4583333333	85.277	56.25	52.05
42544.46875	86.042	57	51.52
42544.4791666667	86.807	57.5	51.41
42544.4895833333	87.572	57.5	52.19
42544.5	88.211	58	52.09
42544.5104166667	88.706	58	51.89
42544.5208333333	89.201	63.25	51.68
42544.53125	89.696	63.5	52.04
42544.5416666667	90.191	58.75	52.36
42544.5520833333	90.686	58.75	52.58
42544.5625	91.181	59.75	52.17
42544.5729166667	91.676	59.75	51.87
42544.5833333333	91.94	59.75	51.76
42544.59375	91.94	57.25	51.69
42544.6041666667	91.94	56.25	52.11
42544.6145833333	91.94	57.25	51.87
42544.625	92.066	58	51.45
42544.6354166667	92.336	59	51.65
42544.6458333333	92.606	59.75	52.04
42544.65625	92.876	60	52.14
42544.6666666667	93.02	59.75	52.64
42544.6770833333	93.02	63.75	52.47
42544.6875	93.02	63.75	52.04
42544.6979166667	93.02	59.75	52.04
42545.375	81.317	62	53.12
42545.3854166667	82.082	60.75	51.07
42545.3958333333	82.847	59.5	55.67
42545.40625	83.612	57.75	59.09
42545.4166666667	84.125	59.5	54.21
42545.4270833333	84.35	59	51.38
42545.4375	84.575	59	50.67
42545.4479166667	84.8	59.5	54.27
42545.4583333333	85.277	59.75	57.81
42545.46875	86.042	58.5	55.04
42545.4791666667	86.807	61	51.46
42545.4895833333	87.572	61.5	51.71
42545.5	88.211	59.25	59.37
42545.5104166667	88.706	59	60.42
42545.5208333333	89.201	59.75	53.88
42545.53125	89.696	60.25	51.33
42545.5416666667	89.96	61.25	56.67
42545.5520833333	89.96	60.75	61.75
42545.5625	89.96	60	52.56
42545.5729166667	89.96	61	50.88
42545.5833333333	90.191	62.75	50.71
42545.59375	90.686	62.25	51.89
42545.6041666667	91.181	62.5	51.91
42545.6145833333	91.676	61.25	51.72
42545.625	92.066	61.25	52.25
42545.6354166667	92.336	61.25	52.56
42545.6458333333	92.606	61.5	52.68
42545.65625	92.876	62.75	52.13
42545.6666666667	92.894	62.75	51.97
42545.6770833333	92.624	61.75	51.94
42545.6875	92.354	61.75	52.01
42545.6979166667	92.084	61.5	51.85
42548.375	83.171	59.75	52.77
42548.3854166667	83.666	55.5	51.38
42548.3958333333	84.161	55.5	50.44
42548.40625	84.656	56	52.1
42548.4166666667	85.277	56.25	52.09
42548.4270833333	86.042	57	52.37
42548.4375	86.807	57	52.55
42548.4479166667	87.572	57.5	52.15
42548.4583333333	88.211	56.75	52.27
42548.46875	88.706	56.25	52.32
42548.4791666667	89.201	64.5	52.68
42548.4895833333	89.696	63.5	51.12
42548.5	90.191	63.5	50.77
42548.5104166667	90.686	61	51.96
42548.5208333333	91.181	63.25	53.19
42548.53125	91.676	63	52.11
42548.5416666667	91.94	62.75	51.41
42548.5520833333	91.94	61.25	51.28
42548.5625	91.94	60.25	52.24
42548.5729166667	91.94	58.75	52.07
42548.5833333333	92.171	58.75	52.1
42548.59375	92.666	58.25	52.32
42548.6041666667	93.161	58.75	52.49
42548.6145833333	93.656	59.75	52.01
42548.625	93.92	61	51.59
42548.6354166667	93.92	61.25	51.62
42548.6458333333	93.92	60	51.9
42548.65625	93.92	59.75	51.97
42548.6666666667	93.92	57.5	52.04
42548.6770833333	93.92	56.75	51.82
42548.6875	93.92	57.25	51.98
42548.6979166667	93.92	58	52.24
42549.375	83.423	60.75	51.65
42549.3854166667	84.458	56.75	51.02
42549.3958333333	85.493	56	51.76
42549.40625	86.528	56.75	52.01
42549.4166666667	87.542	58.25	52.04
42549.4270833333	88.532	59.25	52.36
42549.4375	89.522	59.25	52.47
42549.5104166667	91.2776	62.75	51.82
42549.5208333333	86.828	62.5	51.92
42549.53125	83.516	62.75	53.5
42549.5416666667	81.9549090909091	61.25	54.87
42549.5520833333	79.844	64.75	53.62
42549.5625	77.7330909090909	65.5	50.97
42549.5729166667	75.6221818181818	65.25	50.83
42549.5833333333	75.02	65.5	51.66
42549.59375	75.4290909090909	67.25	51.74
42549.6041666667	75.1452173913043	65.75	54.86
42549.6145833333	73.76	65	57.21
42549.625	74.1118181818182	65.25	52.9
42549.6354166667	74.48	65.25	51.56
42549.6458333333	74.8481818181818	68	51.16
42549.65625	73.94	67.5	51.62
42549.6666666667	73.94	67.25	52.32
42549.6770833333	74.1251428571428	66	52.48
42549.6875	74.588	67	53.04
42549.6979166667	75.02	64.5	53.14
42550.3854166667	80.102	61.25	55.73
42550.3958333333	80.867	59	51.9
42550.40625	81.632	57.75	55.32
42550.4166666667	82.5179310344828	56.75	60.06
42550.4270833333	83.5420689655172	56.5	53.92
42550.4375	84.5662068965517	58	51.32
42550.4479166667	85.5903448275862	58.75	50.77
42550.4583333333	84.92	59.5	52.67
42550.46875	85.7860377358491	59.25	52.59
42550.4791666667	86.6520754716981	58.75	52.01
42550.4895833333	87.5181132075472	58.25	51.86
42550.5	88.211	57.75	51.63
42550.5208333333	89.201	57.5	56.4
42550.53125	89.696	58.5	52.47
42550.5520833333	89.96	58.5	54.59
42550.5625	89.96	58.5	58.4
42550.5729166667	89.96	58.5	52.77
42550.5833333333	90.317	59	50.85
42550.59375	91.082	60.25	51.17
42550.6041666667	91.847	60.25	51.85
42550.625	93.02	60.5	52.62
42550.6354166667	93.02	60.5	52.93
42550.6458333333	93.02	60.5	52.6
42550.65625	93.02	60.75	51.73
42550.6666666667	93.02	60.25	51.43
42550.6770833333	93.02	60	51.48
42550.6875	93.02	59.75	52.28
42550.6979166667	93.02	59.25	52.92
42551.375	83.297	58.75	56.05
42551.3854166667	84.062	57	52.2
42551.3958333333	84.827	56.5	51.09
42551.40625	85.592	55.75	51.47
42551.4166666667	86.231	56.75	52.06
42551.4270833333	86.726	56.5	51.82
42551.4375	87.221	56.5	52.06
42551.4479166667	87.716	56.5	52.46
42551.4583333333	88.106	56.75	52.79
42551.46875	88.376	57.5	51.91
42551.4791666667	88.646	58	51.44
42551.4895833333	88.916	58	54.39
42551.5	89.165	59	57.61
42551.5104166667	89.39	58.5	54.95
42551.5208333333	89.615	59.25	51.31
42551.53125	89.84	59.5	50.67
42551.5416666667	90.317	59.5	53.45
42551.5520833333	91.082	59.5	53.19
42551.5625	91.847	60	51.96
42551.5729166667	92.612	58.5	51.62
42551.5833333333	92.894	58.5	50.97
42551.59375	92.624	59.5	51.86
42551.6041666667	92.354	59.25	52.42
42551.6145833333	92.084	58.5	52.71
42551.625	92.171	58.5	52.21
42551.6354166667	92.666	59.5	51.94
42551.6458333333	93.161	59.5	51.9
42551.65625	93.656	59.75	51.79
42551.6666666667	93.815	61	51.74
42551.6770833333	93.59	61	51.26
42551.6875	93.365	60.5	51.95
42551.6979166667	93.14	60.75	52.49
42552.375	83.171	58.25	55.12
42552.3854166667	83.666	58	51.42
42552.3958333333	84.161	58.5	50.86
42552.40625	84.656	59.75	51.99
42552.4166666667	85.172	59.75	52.31
42552.4270833333	85.712	57.5	52.28
42552.4375	86.252	58	52.16
42552.4479166667	86.792	58.25	52.19
42552.4583333333	87.185	58.25	52.21
42552.46875	87.41	58.5	52.06
42552.4791666667	87.635	58.5	51.34
42552.4895833333	87.86	59.75	51.13
42552.5	88.211	59.5	52.32
42552.5104166667	88.706	59.5	53.26
42552.5208333333	89.201	60	53.64
42552.53125	89.696	59.75	53.84
42552.5416666667	90.191	61	52.15
42552.5520833333	90.686	60.25	51.5
42552.5625	91.181	59.75	57.22
42552.5729166667	91.676	58.5	55.28
42552.5833333333	92.066	58.5	51.44
42552.59375	92.336	58.75	50.83
42552.6041666667	92.606	59	54.92
42552.6145833333	92.876	60	56.92
42552.625	93.02	60.5	51.49
42552.6354166667	93.02	60	50.76
42552.6458333333	93.02	60.5	56.22
42552.65625	93.02	60.5	54.01
42552.6666666667	93.125	60	51.35
42552.6770833333	93.35	59.75	51.89
42552.6875	93.575	59.25	56.48
42552.6979166667	93.8	58.75	53.55
42556.375	85.136	57.25	55.87
42556.3854166667	85.5988571428571	55.25	52.21
42556.3958333333	86	57	51.11
42556.40625	86	57	55.5
42556.4166666667	86.231	57	59.73
42556.4270833333	86.726	57.5	52.84
42556.4375	87.221	58	51.11
42556.4479166667	87.716	57.5	52.84
42556.4583333333	88.211	60.25	53.64
42556.46875	88.706	60	53.87
42556.4791666667	89.201	59	52.16
42556.4895833333	89.696	57	51.62
42556.5	90.191	59.25	51.41
42556.5104166667	90.686	60.5	51.79
42556.5208333333	91.181	62.25	51.94
42556.53125	91.676	62.25	52.14
42556.5416666667	92.066	61.75	51.87
42556.5520833333	92.336	61.5	52.55
42556.5625	92.606	61	52.62
42556.5729166667	92.876	60	52.11
42556.5833333333	93.251	61.5	51.76
42556.59375	93.746	61.5	51.63
42556.6041666667	94.241	60.75	51.44
